author,title,pages,year,crossref,booktitle,ee,url,genre
['R. G. Koppang'],Process Design System: An Integrated Set of Software Development Tools.,['86-90'],1976,['conf/icse/1976'],ICSE,['http://dl.acm.org/citation.cfm?id=807655'],['db/conf/icse/icse76.html#Koppang76'],inproceedings
['Collin McMillan'],Finding relevant functions in millions of lines of code.,['1170-1172'],2011,['conf/icse/2011'],ICSE,['https://doi.org/10.1145/1985793.1986032'],['db/conf/icse/icse2011.html#McMillan11a'],inproceedings
['Walter F. Tichy'],"Programming-in-the-Large: Past, Present, and Future.",['362-367'],1992,['conf/icse/1992'],ICSE,['https://doi.org/10.1145/143062.143153'],['db/conf/icse/icse92.html#Tichy92'],inproceedings
"['Ding Yuan', 'Soyeon Park', 'Yuanyuan Zhou']",Characterizing logging practices in open-source software.,['102-112'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227202', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227202', 'http://dl.acm.org/citation.cfm?id=2337236']",['db/conf/icse/icse2012.html#YuanPZ12'],inproceedings
['James A. Jones'],Fault Localization Using Visualization of Test Information.,['54-56'],2004,['conf/icse/2004'],ICSE,"['https://doi.org/10.1109/ICSE.2004.1317420', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2004.1317420', 'http://dl.acm.org/citation.cfm?id=999405']",['db/conf/icse/icse2004.html#Jones04'],inproceedings
"['Jon Whittle', 'Jyoti Saboo', 'Richard Kwan']",From Scenarios to Code: An Air Traffic Control Case Study.,['490-497'],2003,['conf/icse/2003'],ICSE,"['https://doi.org/10.1109/ICSE.2003.1201227', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2003.1201227', 'http://dl.acm.org/citation.cfm?id=776876']",['db/conf/icse/icse2003.html#WhittleSK03'],inproceedings
"['J. Barrie Thompson', 'Helen M. Edwards']",Workshop to Consider Global Aspects of Software Engineering Professionalism.,['768-769'],2001,['conf/icse/2001'],ICSE,"['https://doi.org/10.1109/ICSE.2001.919169', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2001.919169']",['db/conf/icse/icse2001.html#ThompsonE01'],inproceedings
"['Douglas L. Long', 'Lori A. Clarke']",Task Interaction Graphs for Concurrency Analysis.,['44-52'],1989,['conf/icse/1989'],ICSE,['https://doi.org/10.1145/74587.74592'],['db/conf/icse/icse89.html#LongC89'],inproceedings
"['Hasan Ural', 'Bo Yang']",Modeling Software for Accurate Data Flow Representation.,['277-286'],1993,['conf/icse/1993'],ICSE,['http://portal.acm.org/citation.cfm?id=257572.257633'],['db/conf/icse/icse93.html#UralY93'],inproceedings
"['Satish Chandra 0001', 'Emina Torlak', 'Shaon Barman', 'Rastislav Bodík']",Angelic debugging.,['121-130'],2011,['conf/icse/2011'],ICSE,['https://doi.org/10.1145/1985793.1985811'],['db/conf/icse/icse2011.html#ChandraTBB11'],inproceedings
"['Elisabetta Di Nitto', 'David S. Rosenblum']",Exploiting ADLs to Specify Architectural Styles Induced by Middleware Infrastructures.,['13-22'],1999,['conf/icse/1999'],ICSE,['https://doi.org/10.1145/302405.302406'],['db/conf/icse/icse99.html#NittoR99'],inproceedings
"['Michael Eichberg', 'Sven Kloppenburg', 'Karl Klose', 'Mira Mezini']",Defining and continuous checking of structural program dependencies.,['391-400'],2008,['conf/icse/2008'],ICSE,['https://doi.org/10.1145/1368088.1368142'],['db/conf/icse/icse2008.html#EichbergKKM08'],inproceedings
"['Rick Kazman', 'Jai Asundi', 'Mark Klein']",Quantifying the Costs and Benefits of Architectural Decisions.,['297-306'],2001,['conf/icse/2001'],ICSE,"['https://doi.org/10.1109/ICSE.2001.919103', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2001.919103']",['db/conf/icse/icse2001.html#KazmanAK01'],inproceedings
"['Nikolai Tillmann', 'Jonathan de Halleux', 'Tao Xie 0001', 'Sumit Gulwani', 'Judith Bishop']",Teaching and learning programming and software engineering via interactive gaming.,['1117-1126'],2013,['conf/icse/2013'],ICSE,"['https://doi.org/10.1109/ICSE.2013.6606662', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2013.6606662', 'http://dl.acm.org/citation.cfm?id=2486941']",['db/conf/icse/icse2013.html#TillmannHXGB13'],inproceedings
"['Ted A. Dolotta', 'J. S. Licwinko', 'R. E. Menninger', 'William D. Roome']",The LEAP Load and Test Driver.,['182-186'],1976,['conf/icse/1976'],ICSE,['http://dl.acm.org/citation.cfm?id=807672'],['db/conf/icse/icse76.html#DolottaLMR76'],inproceedings
"['Xiaoyin Wang', 'Lu Zhang 0023', 'Tao Xie 0001', 'Hong Mei', 'Jiasu Sun']",TranStrL: An automatic need-to-translate string locator for software internationalization.,['555-558'],2009,['conf/icse/2009'],ICSE,"['https://doi.org/10.1109/ICSE.2009.5070554', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2009.5070554', 'http://dl.acm.org/citation.cfm?id=1555069']",['db/conf/icse/icse2009.html#WangZXMS09a'],inproceedings
"['Hamid Bagheri', 'Kevin J. Sullivan']",Bottom-up model-driven development.,['1221-1224'],2013,['conf/icse/2013'],ICSE,"['https://doi.org/10.1109/ICSE.2013.6606683', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2013.6606683', 'http://dl.acm.org/citation.cfm?id=2486968']",['db/conf/icse/icse2013.html#BagheriS04'],inproceedings
"['Cédric Jeanneret', 'Martin Glinz', 'Benoit Baudry']",Estimating footprints of model operations.,['601-610'],2011,['conf/icse/2011'],ICSE,['https://doi.org/10.1145/1985793.1985875'],['db/conf/icse/icse2011.html#JeanneretGB11'],inproceedings
"['John C. Munson', 'Taghi M. Khoshgoftaar']",The Dimensionality of Program Complexity.,['245-253'],1989,['conf/icse/1989'],ICSE,['https://doi.org/10.1145/74587.74620'],['db/conf/icse/icse89.html#MunsonK89'],inproceedings
"['Betty H. C. Cheng', 'David Garlan', 'Rogério de Lemos', 'Jeff Magee', 'Richard Taylor 0001', 'Stephen Fickas', 'Hausi A. Müller']",Software engineering for adaptive and self-managing systems.,['1015-1016'],2006,['conf/icse/2006'],ICSE,['https://doi.org/10.1145/1134285.1134480'],['db/conf/icse/icse2006.html#ChengGLMTFM06'],inproceedings
"['Wei-Ngan Chin', 'Siau-Cheng Khoo', 'Shengchao Qin', 'Corneliu Popeea', 'Huu Hai Nguyen']",Verifying safety policies with size properties and alias controls.,['186-195'],2005,['conf/icse/2005'],ICSE,"['https://doi.org/10.1145/1062455.1062500', 'https://doi.org/10.1109/ICSE.2005.1553561', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2005.1553561']",['db/conf/icse/icse2005.html#ChinKQPN05'],inproceedings
"['Victor Pankratius', 'Wolffried Stucky']",Information systems development at the virtual global university: an experience report.,['639-640'],2005,['conf/icse/2005'],ICSE,"['https://doi.org/10.1145/1062455.1062579', 'https://doi.org/10.1109/ICSE.2005.1553625', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2005.1553625']",['db/conf/icse/icse2005.html#PankratiusS05'],inproceedings
"['Barry W. Boehm', 'Alexander Egyed']",Software Requirements Negotiation: Some Lessons Learned.,['503-506'],1998,['conf/icse/1998'],ICSE,"['https://doi.org/10.1109/ICSE.1998.671616', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.1998.671616']",['db/conf/icse/icse98.html#BoehmE98'],inproceedings
"['Gary E. Anderson', 'T. C. Nicholas Graham', 'Timothy N. Wright']",Dragonfly: linking conceptual and implementation architectures of multiuser interactive systems.,['252-261'],2000,['conf/icse/2000'],ICSE,['https://doi.org/10.1145/337180.337208'],['db/conf/icse/icse2000.html#AndersonGW00'],inproceedings
"['Xiaodong Gu', 'Hongyu Zhang 0002', 'Sunghun Kim 0001']",Deep code search.,['933-944'],2018,['conf/icse/2018'],ICSE,"['https://doi.org/10.1145/3180155.3180167', 'http://ieeexplore.ieee.org/document/8453172']",['db/conf/icse/icse2018.html#GuZ018'],inproceedings
['Dewayne E. Perry'],Software Interconnection Models.,['61-71'],1987,['conf/icse/1987'],ICSE,['http://dl.acm.org/citation.cfm?id=41773'],['db/conf/icse/icse87.html#Perry87'],inproceedings
['John C. Georgas'],Knowledge-based architectural adaptation management for self-adaptive systems.,['658'],2005,['conf/icse/2005'],ICSE,"['https://doi.org/10.1145/1062455.1062592', 'https://doi.org/10.1109/ICSE.2005.1553638', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2005.1553638']",['db/conf/icse/icse2005.html#Georgas05'],inproceedings
['Neil Iscoe'],Domain Modeling - Overview & Ongoing Research at EDS.,['198-200'],1993,['conf/icse/1993'],ICSE,['http://portal.acm.org/citation.cfm?id=257572.257618'],['db/conf/icse/icse93.html#Iscoe93'],inproceedings
"['Alexandre Duarte', 'Walfredo Cirne', 'Francisco Vilar Brasileiro', 'Patrícia D. L. Machado']",GridUnit: software testing on the grid.,['779-782'],2006,['conf/icse/2006'],ICSE,['https://doi.org/10.1145/1134285.1134410'],['db/conf/icse/icse2006.html#DuarteCBM06'],inproceedings
"['Yibiao Yang', 'Yuming Zhou', 'Hao Sun', 'Zhendong Su', 'Zhiqiang Zuo 0002', 'Lei Xu 0003', 'Baowen Xu']",Hunting for bugs in code coverage tools via randomized differential testing.,['488-498'],2019,['conf/icse/2019'],ICSE,"['https://doi.org/10.1109/ICSE.2019.00061', 'https://dl.acm.org/citation.cfm?id=3339569']",['db/conf/icse/icse2019.html#YangZSS00X19'],inproceedings
"['Atif M. Memon', 'Myra B. Cohen']","Automated testing of GUI applications: models, tools, and controlling flakiness.",['1479-1480'],2013,['conf/icse/2013'],ICSE,"['https://doi.org/10.1109/ICSE.2013.6606750', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2013.6606750', 'http://dl.acm.org/citation.cfm?id=2487046']",['db/conf/icse/icse2013.html#MemonC04'],inproceedings
['Kevin D. Wentzel'],Software Reuse - Facts and Myths.,['267-268'],1994,['conf/icse/1994'],ICSE,['http://portal.acm.org/citation.cfm?id=257734.257779'],['db/conf/icse/icse94.html#Wentzel94'],inproceedings
"['André Marburger', 'Bernhard Westfechtel']",Tools for Understanding the Behavior of Telecommunication Systems.,['430-443'],2003,['conf/icse/2003'],ICSE,"['https://doi.org/10.1109/ICSE.2003.1201221', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2003.1201221', 'http://dl.acm.org/citation.cfm?id=776868']",['db/conf/icse/icse2003.html#MarburgerW03'],inproceedings
['Jintae Lee'],Extending the Potts and Bruns Model for Recording Design Rationale.,['114-125'],1991,['conf/icse/1991'],ICSE,['http://portal.acm.org/citation.cfm?id=256664.256705'],['db/conf/icse/icse91.html#Lee91'],inproceedings
"['Todd W. Schiller', 'Kellen Donohue', 'Forrest Coward', 'Michael D. Ernst']",Case studies and tools for contract specifications.,['596-607'],2014,['conf/icse/2014'],ICSE,['https://doi.org/10.1145/2568225.2568285'],['db/conf/icse/icse2014.html#SchillerDCE14'],inproceedings
"['Elmar Jürgens', 'Florian Deissenboeck', 'Benjamin Hummel']",CloneDetective - A workbench for clone detection research.,['603-606'],2009,['conf/icse/2009'],ICSE,"['https://doi.org/10.1109/ICSE.2009.5070566', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2009.5070566', 'http://dl.acm.org/citation.cfm?id=1555085']",['db/conf/icse/icse2009.html#JurgensDH09'],inproceedings
['Nicholas Zvegintzov'],Software Survivor.,['136'],1989,['conf/icse/1989'],ICSE,['https://doi.org/10.1145/74587.74607'],['db/conf/icse/icse89.html#Zvegintzov89'],inproceedings
['Yaohan Chu'],Introducing a Software Design Language.,['297-304'],1976,['conf/icse/1976'],ICSE,['http://dl.acm.org/citation.cfm?id=807691'],['db/conf/icse/icse76.html#Chu76'],inproceedings
"['Chris Mattmann', 'Daniel J. Crichton', 'Nenad Medvidovic', 'Steve Hughes']",A software architecture-based framework for highly distributed and data intensive scientific applications.,['721-730'],2006,['conf/icse/2006'],ICSE,['https://doi.org/10.1145/1134285.1134400'],['db/conf/icse/icse2006.html#MattmannCMH06'],inproceedings
"['Horst Lichter', 'Matthias Schneider-Hufschmidt', 'Heinz Züllighoven']",Prototyping in Industrial Software Projects - Bridging the Gap Between Theory and Practice.,['221-229'],1993,['conf/icse/1993'],ICSE,['http://portal.acm.org/citation.cfm?id=257572.257623'],['db/conf/icse/icse93.html#LichterSZ93'],inproceedings
"['Kokichi Futatsugi', 'Koji Okada']",A Hierarchical Structuring Method for Functional Software Systems.,['393-402'],1982,['conf/icse/1982'],ICSE,['http://dl.acm.org/citation.cfm?id=807782'],['db/conf/icse/icse82.html#FutatsugiO82'],inproceedings
"['Alexander Egyed', 'Martin Glinz', 'Ingolf Krüger', 'Tarja Systä', 'Sebastián Uchitel', 'Albert Zündorf']","Second Workshop on Scenarios and State Machines: Models, Algorithms, and Tools.",['783-784'],2003,['conf/icse/2003'],ICSE,"['https://doi.org/10.1109/ICSE.2003.1201284', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2003.1201284', 'http://dl.acm.org/citation.cfm?id=776949']",['db/conf/icse/icse2003.html#EgyedGKSUZ03'],inproceedings
"['Jorge Aranda', 'Gina Venolia']",The secret life of bugs: Going past the errors and omissions in software repositories.,['298-308'],2009,['conf/icse/2009'],ICSE,"['https://doi.org/10.1109/ICSE.2009.5070530', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2009.5070530', 'http://dl.acm.org/citation.cfm?id=1555045']",['db/conf/icse/icse2009.html#ArandaV09'],inproceedings
['Bill Dresselhaus'],Exciting new trends in design thinking.,['622'],2011,['conf/icse/2011'],ICSE,['https://doi.org/10.1145/1985793.1985879'],['db/conf/icse/icse2011.html#Dresselhaus11'],inproceedings
"['Joseph Feller', 'Brian Fitzgerald 0001', 'André van der Hoek']",1st Workshop on Open Source Software Engineering.,['780-781'],2001,['conf/icse/2001'],ICSE,"['https://doi.org/10.1109/ICSE.2001.919176', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2001.919176', 'https://www.wikidata.org/entity/Q58888985']",['db/conf/icse/icse2001.html#FellerFH01'],inproceedings
"['Lawrence G. Votta', 'Adam A. Porter']",Experimental Software Engineering: A Report on the State of the Art.,['277-279'],1995,['conf/icse/1995'],ICSE,['https://doi.org/10.1145/225014.225040'],['db/conf/icse/icse95.html#VottaP95'],inproceedings
"['Lydie du Bousquet', 'Farid Ouabdesselam', 'Jean-Luc Richier', 'Nicolas Zuanon']",Lutess: A Specification-Driven Testing Environment for Synchronous Software.,['267-276'],1999,['conf/icse/1999'],ICSE,['https://doi.org/10.1145/302405.302634'],['db/conf/icse/icse99.html#BousquetORZ99'],inproceedings
"['Magnus Madsen', 'Frank Tip', 'Esben Andreasen', 'Koushik Sen', 'Anders Møller']",Feedback-directed instrumentation for deployed JavaScript applications.,['899-910'],2016,['conf/icse/2016'],ICSE,"['https://doi.org/10.1145/2884781.2884846', 'http://ieeexplore.ieee.org/document/7886966/']",['db/conf/icse/icse2016.html#MadsenTASM16'],inproceedings
['Thomas Zimmermann 0001'],Taking lessons from history.,['1001-1005'],2006,['conf/icse/2006'],ICSE,['https://doi.org/10.1145/1134285.1134474'],['db/conf/icse/icse2006.html#Zimmermann06'],inproceedings
"['Davide Di Ruscio', 'Patrizio Pelliccione', 'Alfonso Pierantonio']",EVOSS: A tool for managing the evolution of free and open source software systems.,['1415-1418'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227234', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227234', 'http://dl.acm.org/citation.cfm?id=2337433', 'https://www.wikidata.org/entity/Q59407530']",['db/conf/icse/icse2012.html#RuscioPP12'],inproceedings
"['Hyoung Seok Hong', 'Sung Deok Cha', 'Insup Lee', 'Oleg Sokolsky', 'Hasan Ural']",Data Flow Testing as Model Checking.,['232-243'],2003,['conf/icse/2003'],ICSE,"['https://doi.org/10.1109/ICSE.2003.1201203', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2003.1201203', 'http://dl.acm.org/citation.cfm?id=776844']",['db/conf/icse/icse2003.html#HongCLSU03'],inproceedings
"['David Budgen', 'Pearl Brereton']",Performing systematic literature reviews in software engineering.,['1051-1052'],2006,['conf/icse/2006'],ICSE,['https://doi.org/10.1145/1134285.1134500'],['db/conf/icse/icse2006.html#BudgenB06'],inproceedings
['Mikio Aoyama'],Agile Software Process and Its Experience.,['3-12'],1998,['conf/icse/1998'],ICSE,"['https://doi.org/10.1109/ICSE.1998.671097', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.1998.671097']",['db/conf/icse/icse98.html#Aoyama98'],inproceedings
['Hans van Vliet'],Some myths of software engineering education.,['621-622'],2005,['conf/icse/2005'],ICSE,"['https://doi.org/10.1145/1062455.1062570', 'https://doi.org/10.1109/ICSE.2005.1553616', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2005.1553616']",['db/conf/icse/icse2005.html#Vliet05'],inproceedings
"['Andreas Ulrich', 'Peter Zimmerer']",International Workshop on Testing Distributed Component-Based Systems.,['698'],1999,['conf/icse/1999'],ICSE,['https://doi.org/10.1145/302405.302964'],['db/conf/icse/icse99.html#UlrichZ99'],inproceedings
"['Xavier Blanc 0001', 'Isabelle Mounier', 'Alix Mougenot', 'Tom Mens']",Detecting model inconsistency through operation-based model construction.,['511-520'],2008,['conf/icse/2008'],ICSE,"['https://doi.org/10.1145/1368088.1368158', 'https://www.wikidata.org/entity/Q58209478']",['db/conf/icse/icse2008.html#BlancMMM08'],inproceedings
"['Junwen Yang', 'Pranav Subramaniam', 'Shan Lu 0001', 'Cong Yan', 'Alvin Cheung']",How ,['800-810'],2018,['conf/icse/2018'],ICSE,"['https://doi.org/10.1145/3180155.3180194', 'http://ieeexplore.ieee.org/document/8453153']",['db/conf/icse/icse2018.html#YangSLYC18'],inproceedings
"['Mark Staples', 'Rafal Kolanski', 'Gerwin Klein', 'Corey Lewis', 'June Andronick', 'Toby C. Murray', 'D. Ross Jeffery', 'Len Bass']",Formal specifications better than function points for code sizing.,['1257-1260'],2013,['conf/icse/2013'],ICSE,"['https://doi.org/10.1109/ICSE.2013.6606692', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2013.6606692', 'http://dl.acm.org/citation.cfm?id=2486978']",['db/conf/icse/icse2013.html#StaplesKKLAMJB04'],inproceedings
"['Rocky Slavin', 'Xiaoyin Wang', 'Mitra Bokaei Hosseini', 'James Hester', 'Ram Krishnan', 'Jaspreet Bhatia', 'Travis D. Breaux', 'Jianwei Niu 0001']",Toward a framework for detecting privacy policy violations in android application code.,['25-36'],2016,['conf/icse/2016'],ICSE,"['https://doi.org/10.1145/2884781.2884855', 'http://ieeexplore.ieee.org/document/7886889/']",['db/conf/icse/icse2016.html#SlavinWHHKBBN16'],inproceedings
['Steven P. Reiss'],Simplifying Data Integration: The Design of the Desert Software Development Environment.,['398-407'],1996,['conf/icse/1996'],ICSE,['http://portal.acm.org/citation.cfm?id=227726.227811'],['db/conf/icse/icse96.html#Reiss96'],inproceedings
['Amy L. Murphy'],Algorithm Development in the Mobile Environment.,['728-729'],1999,['conf/icse/1999'],ICSE,['https://doi.org/10.1145/302405.302999'],['db/conf/icse/icse99.html#Murphy99'],inproceedings
['Robert G. Babb II'],Data-Driven Implementation of Data Flow Diagrams.,['309-318'],1982,['conf/icse/1982'],ICSE,['http://dl.acm.org/citation.cfm?id=807773'],['db/conf/icse/icse82.html#Babb82'],inproceedings
"['Cong Tian', 'Zhenhua Duan']",Detecting spurious counterexamples efficiently in abstract model checking.,['202-211'],2013,['conf/icse/2013'],ICSE,"['https://doi.org/10.1109/ICSE.2013.6606566', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2013.6606566', 'http://dl.acm.org/citation.cfm?id=2486816']",['db/conf/icse/icse2013.html#TianD13'],inproceedings
"['Kendra M. L. Cooper', 'Walt Scacchi', 'Alf Inge Wang']","3rd international workshop on games and software engineering: engineering computer games to enable positive, progressive change (GAS 2013).",['1521-1522'],2013,['conf/icse/2013'],ICSE,"['https://doi.org/10.1109/ICSE.2013.6606767', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2013.6606767', 'http://dl.acm.org/citation.cfm?id=2487064']",['db/conf/icse/icse2013.html#CooperSW04'],inproceedings
"['Bill Curtis', 'Sylvia B. Sheppard', 'Phil Milliman']",Third Time Charm: Stronger Replication of the Ability of Software Complexity Metrics to Predict Programmer Performance.,['356-360'],1979,['conf/icse/1979'],ICSE,['http://dl.acm.org/citation.cfm?id=802959'],['db/conf/icse/icse79.html#CurtisSM79'],inproceedings
"['Andy Maule', 'Wolfgang Emmerich', 'David S. Rosenblum']",Impact analysis of database schema changes.,['451-460'],2008,['conf/icse/2008'],ICSE,['https://doi.org/10.1145/1368088.1368150'],['db/conf/icse/icse2008.html#MauleER08'],inproceedings
"['Ahmed Tamrawi', 'Hoan Anh Nguyen', 'Hung Viet Nguyen', 'Tien N. Nguyen']",Build code analysis with symbolic evaluation.,['650-660'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227152', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227152', 'http://dl.acm.org/citation.cfm?id=2337300']",['db/conf/icse/icse2012.html#TamrawiNNN12'],inproceedings
"['Guoping Rong', 'He Zhang 0001', 'Mingjuan Xie', 'Dong Shao']",Improving PSP education by pairing: An empirical study.,['1245-1254'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227018', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227018', 'http://dl.acm.org/citation.cfm?id=2337387']",['db/conf/icse/icse2012.html#RongZXS12'],inproceedings
"['Zahra Shakeri Hossein Abad', 'Vincenzo Gervasi', 'Didar Zowghi', 'Behrouz H. Far']",Supporting analysts by dynamic extraction and classification of requirements-related knowledge.,['442-453'],2019,['conf/icse/2019'],ICSE,"['https://doi.org/10.1109/ICSE.2019.00057', 'https://dl.acm.org/citation.cfm?id=3339562']",['db/conf/icse/icse2019.html#AbadGZF19'],inproceedings
"['Horatiu Dumitru', 'Marek Gibiec', 'Negar Hariri', 'Jane Cleland-Huang', 'Bamshad Mobasher', 'Carlos Castro-Herrera', 'Mehdi Mirakhorli']",On-demand feature recommendations derived from mining public product descriptions.,['181-190'],2011,['conf/icse/2011'],ICSE,['https://doi.org/10.1145/1985793.1985819'],['db/conf/icse/icse2011.html#DumitruGHCMCM11'],inproceedings
"['Joseph R. Ruthruff', 'Margaret M. Burnett', 'Gregg Rothermel']",An empirical study of fault localization for end-user programmers.,['352-361'],2005,['conf/icse/2005'],ICSE,"['https://doi.org/10.1145/1062455.1062523', 'https://doi.org/10.1109/ICSE.2005.1553578', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2005.1553578']",['db/conf/icse/icse2005.html#RuthruffBR05'],inproceedings
"['Ophir Holder', 'Israel Ben-Shaul', 'Hovav Gazit']",Dynamic Layout of Distributed Applications in FarGo.,['163-173'],1999,['conf/icse/1999'],ICSE,['https://doi.org/10.1145/302405.302462'],['db/conf/icse/icse99.html#HolderBG99'],inproceedings
"['Yukio Motoyoshi', 'Shigeru Otsuki']",An Incremental Project Plan: Introducing Cleanroom Method and Object-Oriented Development Method.,['430-433'],1998,['conf/icse/1998'],ICSE,"['https://doi.org/10.1109/ICSE.1998.671599', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.1998.671599']",['db/conf/icse/icse98.html#MotoyoshiO98'],inproceedings
"['Susan L. Gerhart', 'Lawrence Yelowitz']",Control Structure Abstractions of the Backtracking Programming Technique (Abstract).,['391'],1976,['conf/icse/1976'],ICSE,['http://dl.acm.org/citation.cfm?id=807709'],['db/conf/icse/icse76.html#GerhartY76'],inproceedings
"['Na Meng', 'Stefan Nagy', 'Danfeng (Daphne) Yao', 'Wenjie Zhuang', 'Gustavo Arango Argoty']",Secure coding practices in Java: challenges and vulnerabilities.,['372-383'],2018,['conf/icse/2018'],ICSE,"['https://doi.org/10.1145/3180155.3180201', 'http://ieeexplore.ieee.org/document/8453095']",['db/conf/icse/icse2018.html#MengNYZA18'],inproceedings
['Jan Bosch'],Software Variability Management.,['720-721'],2004,['conf/icse/2004'],ICSE,"['https://doi.org/10.1109/ICSE.2004.1317504', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2004.1317504', 'http://dl.acm.org/citation.cfm?id=999486']",['db/conf/icse/icse2004.html#Bosch04'],inproceedings
