author,title,pages,year,booktitle,ee,crossref,url,genre
"['Zhenyue Long', 'Zeliu Ao', 'Guoquan Wu', 'Wei Chen 0018', 'Jun Wei 0001']",WebRTS: A Dynamic Regression Test Selection Tool for Java Web Applications.,['822-825'],2020,ICSME,['https://doi.org/10.1109/ICSME46990.2020.00102'],['conf/icsm/2020'],['db/conf/icsm/icsme2020.html#LongAW0020'],inproceedings
['J. G. M. Mengerink'],A Roadmap for Co-Evolution of Meta-Models and Models.,['619'],2016,ICSME,"['https://doi.org/10.1109/ICSME.2016.104', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2016.104']",['conf/icsm/2016'],['db/conf/icsm/icsme2016.html#Mengerink16'],inproceedings
"['John Jenkins', 'Haipeng Cai']",Dissecting Android Inter-component Communications via Interactive Visual Explorations.,['519-523'],2017,ICSME,"['https://doi.org/10.1109/ICSME.2017.74', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2017.74']",['conf/icsm/2017'],['db/conf/icsm/icsme2017.html#JenkinsC17'],inproceedings
"['Haoren Wang', 'Huzefa H. Kagdi']",A Conceptual Replication Study on Bugs that Get Fixed in Open Source Software.,['299-310'],2018,ICSME,"['https://doi.org/10.1109/ICSME.2018.00039', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2018.00039']",['conf/icsm/2018'],['db/conf/icsm/icsme2018.html#WangK18'],inproceedings
"['Swapna Thorve', 'Chandani Sreshtha', 'Na Meng']",An Empirical Study of Flaky Tests in Android Apps.,['534-538'],2018,ICSME,"['https://doi.org/10.1109/ICSME.2018.00062', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2018.00062']",['conf/icsm/2018'],['db/conf/icsm/icsme2018.html#ThorveSM18'],inproceedings
"['Jeffrey Svajlenko', 'Judith F. Islam', 'Iman Keivanloo', 'Chanchal Kumar Roy', 'Mohammad Mamun Mia']",Towards a Big Data Curated Benchmark of Inter-project Code Clones.,['476-480'],2014,ICSME,"['https://doi.org/10.1109/ICSME.2014.77', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2014.77']",['conf/icsm/2014'],['db/conf/icsm/icsme2014.html#SvajlenkoIKRM14'],inproceedings
"['Kiyotaka Kasubuchi', 'Shuji Morisaki', 'Akiko Yoshida', 'Chikako Ogawa']",An empirical evaluation of the effectiveness of inspection scenarios developed from a defect repository.,['439-448'],2015,ICSME,"['https://doi.org/10.1109/ICSM.2015.7332495', 'http://doi.ieeecomputersociety.org/10.1109/ICSM.2015.7332495']",['conf/icsm/2015'],['db/conf/icsm/icsme2015.html#KasubuchiMYO15'],inproceedings
"['Panos Kyriakakis', 'Alexander Chatzigeorgiou']",Maintenance Patterns of Large-Scale PHP Web Applications.,['381-390'],2014,ICSME,"['https://doi.org/10.1109/ICSME.2014.60', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2014.60']",['conf/icsm/2014'],['db/conf/icsm/icsme2014.html#KyriakakisC14'],inproceedings
"['Mohammad Masudur Rahman 0001', 'Chanchal K. Roy']",Effective Reformulation of Query for Code Search Using Crowdsourced Knowledge and Extra-Large Data Analytics.,['473-484'],2018,ICSME,"['https://doi.org/10.1109/ICSME.2018.00057', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2018.00057']",['conf/icsm/2018'],['db/conf/icsm/icsme2018.html#RahmanR18'],inproceedings
"['Aleksandr Chueshev', 'Julia Lawall', 'Reda Bendraou', 'Tewfik Ziadi']",Expanding the Number of Reviewers in Open-Source Projects by Recommending Appropriate Developers.,['499-510'],2020,ICSME,['https://doi.org/10.1109/ICSME46990.2020.00054'],['conf/icsm/2020'],['db/conf/icsm/icsme2020.html#ChueshevLBZ20'],inproceedings
"['Mario Linares Vásquez', 'Carlos Bernal-Cárdenas', 'Kevin Moran', 'Denys Poshyvanyk']",How do Developers Test Android Applications?,['613-622'],2017,ICSME,"['https://doi.org/10.1109/ICSME.2017.47', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2017.47']",['conf/icsm/2017'],['db/conf/icsm/icsme2017.html#VasquezBMP17'],inproceedings
"['Laura Bello-Jiménez', 'Alejandro Mazuera-Rozo', 'Mario Linares-Vásquez', 'Gabriele Bavota']",OPIA: A Tool for On-Device Testing of Vulnerabilities in Android Applications.,['418-421'],2019,ICSME,['https://doi.org/10.1109/ICSME.2019.00073'],['conf/icsm/2019'],['db/conf/icsm/icsme2019.html#Bello-JimenezML19'],inproceedings
"['Juliane Fischer', 'Safa Bougouffa', 'Alexander Schlie', 'Ina Schaefer', 'Birgit Vogel-Heuser']",A Qualitative Study of Variability Management of Control Software for Industrial Automation Systems.,['615-624'],2018,ICSME,"['https://doi.org/10.1109/ICSME.2018.00071', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2018.00071']",['conf/icsm/2018'],['db/conf/icsm/icsme2018.html#FischerBSSV18'],inproceedings
"['Daiki Fujioka', 'Naoya Nitta']",Constraints Based Approach to Interactive Feature Location.,['499-503'],2017,ICSME,"['https://doi.org/10.1109/ICSME.2017.55', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2017.55']",['conf/icsm/2017'],['db/conf/icsm/icsme2017.html#FujiokaN17'],inproceedings
"['André C. Hora', 'Marco Tulio Valente']",Apiwave: Keeping track of API popularity and migration.,['321-323'],2015,ICSME,"['https://doi.org/10.1109/ICSM.2015.7332478', 'http://doi.ieeecomputersociety.org/10.1109/ICSM.2015.7332478']",['conf/icsm/2015'],['db/conf/icsm/icsme2015.html#HoraV15'],inproceedings
"['Tri Minh Triet Pham', 'Jinqiu Yang 0001']",Exploring Bluetooth Communication Protocols in Internet-of-Things Software Development.,['792-793'],2020,ICSME,['https://doi.org/10.1109/ICSME46990.2020.00093'],['conf/icsm/2020'],['db/conf/icsm/icsme2020.html#Pham020'],inproceedings
"['Nikola Ilo', 'Johann Grabner', 'Thomas Artner', 'Mario Bernhart', 'Thomas Grechenig']",Combining software interrelationship data across heterogeneous software repositories.,['571-575'],2015,ICSME,"['https://doi.org/10.1109/ICSM.2015.7332516', 'http://doi.ieeecomputersociety.org/10.1109/ICSM.2015.7332516']",['conf/icsm/2015'],['db/conf/icsm/icsme2015.html#IloGABG15'],inproceedings
"['Sebastiano Panichella', 'Gabriele Bavota', 'Massimiliano Di Penta', 'Gerardo Canfora', 'Giuliano Antoniol']",How Developers' Collaborations Identified from Different Sources Tell Us about Code Changes.,['251-260'],2014,ICSME,"['https://doi.org/10.1109/ICSME.2014.47', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2014.47', 'https://www.wikidata.org/entity/Q57751989']",['conf/icsm/2014'],['db/conf/icsm/icsme2014.html#PanichellaBPCA14'],inproceedings
"['Mihai Codoban', 'Sruti Srinivasa Ragavan', 'Danny Dig', 'Brian P. Bailey']",Software history under the lens: A study on why and how developers examine it.,['1-10'],2015,ICSME,"['https://doi.org/10.1109/ICSM.2015.7332446', 'http://doi.ieeecomputersociety.org/10.1109/ICSM.2015.7332446']",['conf/icsm/2015'],['db/conf/icsm/icsme2015.html#CodobanRDB15'],inproceedings
"['Andy Podgurski', 'Yigit Küçük']",CounterFault: Value-Based Fault Localization by Modeling and Predicting Counterfactual Outcomes.,['382-393'],2020,ICSME,['https://doi.org/10.1109/ICSME46990.2020.00044'],['conf/icsm/2020'],['db/conf/icsm/icsme2020.html#PodgurskiK20'],inproceedings
"['Manishankar Mondal', 'Chanchal Kumar Roy', 'Kevin A. Schneider']",A Fine-Grained Analysis on the Evolutionary Coupling of Cloned Code.,['51-60'],2014,ICSME,"['https://doi.org/10.1109/ICSME.2014.27', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2014.27']",['conf/icsm/2014'],['db/conf/icsm/icsme2014.html#MondalRS14'],inproceedings
"['Jonas Fritzsch', 'Justus Bogner', 'Stefan Wagner 0001', 'Alfred Zimmermann']","Microservices Migration in Industry: Intentions, Strategies, and Challenges.",['481-490'],2019,ICSME,['https://doi.org/10.1109/ICSME.2019.00081'],['conf/icsm/2019'],['db/conf/icsm/icsme2019.html#FritzschB0Z19'],inproceedings
"['Bo Zhang', 'Hongyu Zhang 0002', 'Junjie Chen 0003', 'Dan Hao', 'Pablo Moscato']",AutoMR: Automatic Discovery and Cleansing of Numerical Metamorphic Relations.,['246'],2019,ICSME,['https://doi.org/10.1109/ICSME.2019.00036'],['conf/icsm/2019'],['db/conf/icsm/icsme2019.html#Zhang00HM19a'],inproceedings
"['Pavneet Singh Kochhar', 'Stanislaw Swierc', 'Trevor Carnahan', 'Hitesh Sajnani', 'Meiyappan Nagappan']",Understanding the Role of Reporting in Work Item Tracking Systems for Software Development: An Industrial Case Study.,['605-614'],2018,ICSME,"['https://doi.org/10.1109/ICSME.2018.00070', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2018.00070']",['conf/icsm/2018'],['db/conf/icsm/icsme2018.html#KochharSCSN18'],inproceedings
"['Daniel Soto', 'Alexandre Bergel', 'Alejandro Hevia']",Fuzzing to Estimate Gas Costs of Ethereum Contracts.,['687-691'],2020,ICSME,['https://doi.org/10.1109/ICSME46990.2020.00073'],['conf/icsm/2020'],['db/conf/icsm/icsme2020.html#SotoBH20'],inproceedings
"['Ameer Armaly', 'John Klaczynski', 'Collin McMillan']",A Case Study of Automated Feature Location Techniques for Industrial Cost Estimation.,['553-562'],2016,ICSME,"['https://doi.org/10.1109/ICSME.2016.76', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2016.76']",['conf/icsm/2016'],['db/conf/icsm/icsme2016.html#ArmalyKM16'],inproceedings
"['Annibale Panichella', 'Sebastiano Panichella', 'Gordon Fraser 0001', 'Anand Ashok Sawant', 'Vincent J. Hellendoorn']","Revisiting Test Smells in Automatically Generated Tests: Limitations, Pitfalls, and Opportunities.",['523-533'],2020,ICSME,['https://doi.org/10.1109/ICSME46990.2020.00056'],['conf/icsm/2020'],['db/conf/icsm/icsme2020.html#PanichellaPFSH20'],inproceedings
"['Abdullah Alsharif', 'Gregory M. Kapfhammer', 'Phil McMinn']",What Factors Make SQL Test Cases Understandable for Testers? A Human Study of Automated Test Data Generation Techniques.,['437-448'],2019,ICSME,['https://doi.org/10.1109/ICSME.2019.00076'],['conf/icsm/2019'],['db/conf/icsm/icsme2019.html#AlsharifKM19'],inproceedings
['Emad Aghajani'],Context-Aware Software Documentation.,['727-731'],2018,ICSME,"['https://doi.org/10.1109/ICSME.2018.00090', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2018.00090']",['conf/icsm/2018'],['db/conf/icsm/icsme2018.html#Aghajani18'],inproceedings
"['Christian D. Newman', 'Jonathan I. Maletic', 'Michael L. Collard']",srcType: A Tool for Efficient Static Type Resolution.,['604-606'],2016,ICSME,"['https://doi.org/10.1109/ICSME.2016.38', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2016.38']",['conf/icsm/2016'],['db/conf/icsm/icsme2016.html#NewmanMC16'],inproceedings
"['Luca Ponzanelli', 'Andrea Mocci', 'Alberto Bacchelli', 'Michele Lanza', 'David Fullerton']",Improving Low Quality Stack Overflow Post Detection.,['541-544'],2014,ICSME,"['https://doi.org/10.1109/ICSME.2014.90', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2014.90']",['conf/icsm/2014'],['db/conf/icsm/icsme2014.html#PonzanelliMBLF14'],inproceedings
"['Stefan Medeleanu', 'Petru Florin Mihancea']",NullTerminator: Pseudo-Automatic Refactoring to Null Object Design Pattern.,['601-603'],2016,ICSME,"['https://doi.org/10.1109/ICSME.2016.23', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2016.23']",['conf/icsm/2016'],['db/conf/icsm/icsme2016.html#MedeleanuM16'],inproceedings
"['Tamer Abdou', 'Behjat Soltanifar', 'Ayse Bener', 'Adam Neal']",What is the Cause for a Defect to be Re-Assigned?,['502-508'],2016,ICSME,"['https://doi.org/10.1109/ICSME.2016.60', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2016.60']",['conf/icsm/2016'],['db/conf/icsm/icsme2016.html#AbdouSBN16'],inproceedings
"['Luciana Lourdes Silva', 'Marco Tulio Valente', 'Marcelo de Almeida Maia', 'Nicolas Anquetil']",Developers' perception of co-change patterns: An empirical study.,['21-30'],2015,ICSME,"['https://doi.org/10.1109/ICSM.2015.7332448', 'http://doi.ieeecomputersociety.org/10.1109/ICSM.2015.7332448']",['conf/icsm/2015'],['db/conf/icsm/icsme2015.html#SilvaVMA15'],inproceedings
"['Basma S. Alqadi', 'Jonathan I. Maletic']",Integration of Program Slicing with Cognitive Complexity for Defect Prediction.,['839-843'],2020,ICSME,['https://doi.org/10.1109/ICSME46990.2020.00106'],['conf/icsm/2020'],['db/conf/icsm/icsme2020.html#AlqadiM20'],inproceedings
"['Alexander Schlie', 'Sandro Schulze', 'Ina Schaefer']",Comparing Multiple MATLAB/Simulink Models Using Static Connectivity Matrix Analysis.,['160-171'],2018,ICSME,"['https://doi.org/10.1109/ICSME.2018.00026', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2018.00026']",['conf/icsm/2018'],['db/conf/icsm/icsme2018.html#SchlieSS18'],inproceedings
"['Zhuobing Han', 'Xiaohong Li 0001', 'Zhenchang Xing', 'Hongtao Liu', 'Zhiyong Feng 0002']",Learning to Predict Severity of Software Vulnerability Using Only Vulnerability Description.,['125-136'],2017,ICSME,"['https://doi.org/10.1109/ICSME.2017.52', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2017.52']",['conf/icsm/2017'],['db/conf/icsm/icsme2017.html#HanLXLF17'],inproceedings
"['Mingwei Liu', 'Xin Peng', 'Xiujie Meng', 'Huanjun Xu', 'Shuangshuang Xing', 'Xin Wang', 'Yang Liu', 'Gang Lv']",Source Code based On-demand Class Documentation Generation.,['864-865'],2020,ICSME,['https://doi.org/10.1109/ICSME46990.2020.00114'],['conf/icsm/2020'],['db/conf/icsm/icsme2020.html#LiuPMXXWLL20'],inproceedings
"['Atheer Abu Zaid', 'Manar H. Alalfi', 'Ali Miri']",Automated Identification of Over-Privileged SmartThings Apps.,['247-251'],2019,ICSME,['https://doi.org/10.1109/ICSME.2019.00037'],['conf/icsm/2019'],['db/conf/icsm/icsme2019.html#ZaidAM19'],inproceedings
"['J. G. M. Mengerink', 'Alexander Serebrenik', 'Ramon R. H. Schiffelers', 'M. G. J. van den Brand']",A Complete Operator Library for DSL Evolution Specification.,['144-154'],2016,ICSME,"['https://doi.org/10.1109/ICSME.2016.32', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2016.32']",['conf/icsm/2016'],['db/conf/icsm/icsme2016.html#MengerinkSSB16'],inproceedings
"['Martin Habringer', 'Michael Moser', 'Josef Pichler']",Reverse Engineering PL/SQL Legacy Code: An Experience Report.,['553-556'],2014,ICSME,"['https://doi.org/10.1109/ICSME.2014.93', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2014.93']",['conf/icsm/2014'],['db/conf/icsm/icsme2014.html#HabringerMP14'],inproceedings
['Miroslav Dzakovic'],Industrial Application of Automated Regression Testing in Test-Driven ETL Development.,['582-585'],2016,ICSME,"['https://doi.org/10.1109/ICSME.2016.53', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2016.53']",['conf/icsm/2016'],['db/conf/icsm/icsme2016.html#Dzakovic16'],inproceedings
"['David N. Palacio', 'Daniel McCrystal', 'Kevin Moran', 'Carlos Bernal-Cárdenas', 'Denys Poshyvanyk', 'Chris Shenefiel']",Learning to Identify Security-Related Issues Using Convolutional Neural Networks.,['140-144'],2019,ICSME,['https://doi.org/10.1109/ICSME.2019.00024'],['conf/icsm/2019'],['db/conf/icsm/icsme2019.html#PalacioMMBPS19'],inproceedings
['Kevin Moran'],Automating Software Development for Mobile Computing Platforms.,['749-754'],2018,ICSME,"['https://doi.org/10.1109/ICSME.2018.00094', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2018.00094']",['conf/icsm/2018'],['db/conf/icsm/icsme2018.html#Moran18'],inproceedings
"['Julien Delplanque', 'Anne Etien', 'Nicolas Anquetil', 'Olivier Auverlot']",Relational Database Schema Evolution: An Industrial Case Study.,['635-644'],2018,ICSME,"['https://doi.org/10.1109/ICSME.2018.00073', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2018.00073']",['conf/icsm/2018'],['db/conf/icsm/icsme2018.html#DelplanqueEAA18'],inproceedings
"['Kenji Yamauchi', 'Jiachen Yang', 'Keisuke Hotta', 'Yoshiki Higo', 'Shinji Kusumoto']",Clustering Commits for Understanding the Intents of Implementation.,['406-410'],2014,ICSME,"['https://doi.org/10.1109/ICSME.2014.63', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2014.63']",['conf/icsm/2014'],['db/conf/icsm/icsme2014.html#YamauchiYHHK14'],inproceedings
"['Damien Legay', 'Alexandre Decan', 'Tom Mens']",On Package Freshness in Linux Distributions.,['682-686'],2020,ICSME,['https://doi.org/10.1109/ICSME46990.2020.00072'],['conf/icsm/2020'],['db/conf/icsm/icsme2020.html#LegayDM20'],inproceedings
"['Titus Barik', 'Yoonki Song', 'Brittany Johnson', 'Emerson R. Murphy-Hill']",From Quick Fixes to Slow Fixes: Reimagining Static Analysis Resolutions to Enable Design Space Exploration.,['211-221'],2016,ICSME,"['https://doi.org/10.1109/ICSME.2016.63', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2016.63', 'https://www.wikidata.org/entity/Q57433676']",['conf/icsm/2016'],['db/conf/icsm/icsme2016.html#BarikSJM16'],inproceedings
['Dragos Dobrean'],Automatic Examining of Software Architectures on Mobile Applications Codebases.,['595-599'],2019,ICSME,['https://doi.org/10.1109/ICSME.2019.00094'],['conf/icsm/2019'],['db/conf/icsm/icsme2019.html#Dobrean19'],inproceedings
"['Mohamed A. Oumaziz', 'Jean-Rémy Falleri', 'Xavier Blanc 0001', 'Tegawendé F. Bissyandé', 'Jacques Klein']",Handling Duplicates in Dockerfiles Families: Learning from Experts.,['524-535'],2019,ICSME,['https://doi.org/10.1109/ICSME.2019.00086'],['conf/icsm/2019'],['db/conf/icsm/icsme2019.html#OumazizF0BK19'],inproceedings
"['Nicolas Anquetil', 'Anne Etien', 'Gaelle Andreo', 'Stéphane Ducasse']",Decomposing God Classes at Siemens.,['169-180'],2019,ICSME,['https://doi.org/10.1109/ICSME.2019.00027'],['conf/icsm/2019'],['db/conf/icsm/icsme2019.html#AnquetilEAD19'],inproceedings
"['Wunan Guo', 'Liwei Shen', 'Ting Su', 'Xin Peng 0001', 'Weiyang Xie']",Improving Automated GUI Exploration of Android Apps via Static Dependency Analysis.,['557-568'],2020,ICSME,['https://doi.org/10.1109/ICSME46990.2020.00059'],['conf/icsm/2020'],['db/conf/icsm/icsme2020.html#GuoSS0X20'],inproceedings
"['Brice Govin', 'Nicolas Anquetil', 'Anne Etien', 'Stéphane Ducasse', 'Arnaud Monégier']",How Can We Help Software Rearchitecting Efforts? Study of an Industrial Case.,['509-518'],2016,ICSME,"['https://doi.org/10.1109/ICSME.2016.43', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2016.43']",['conf/icsm/2016'],['db/conf/icsm/icsme2016.html#GovinAEDM16'],inproceedings
"['Jiayu Zhu', 'Chengcheng Wan', 'Pengbo Nie', 'Yuting Chen', 'Zhendong Su']","Guided, Deep Testing of X.509 Certificate Validation via Coverage Transfer Graphs.",['243-254'],2020,ICSME,['https://doi.org/10.1109/ICSME46990.2020.00032'],['conf/icsm/2020'],['db/conf/icsm/icsme2020.html#ZhuWNCS20'],inproceedings
"['Mathieu Goeminne', 'Tom Mens']",Towards a survival analysis of database framework usage in Java projects.,['551-555'],2015,ICSME,"['https://doi.org/10.1109/ICSM.2015.7332512', 'http://doi.ieeecomputersociety.org/10.1109/ICSM.2015.7332512', 'https://www.wikidata.org/entity/Q58209391']",['conf/icsm/2015'],['db/conf/icsm/icsme2015.html#GoeminneM15'],inproceedings
['Anthony Peruma'],Towards a Model to Appraise and Suggest Identifier Names.,['639-643'],2019,ICSME,['https://doi.org/10.1109/ICSME.2019.00103'],['conf/icsm/2019'],['db/conf/icsm/icsme2019.html#Peruma19'],inproceedings
['Keheliya Gallaba'],Improving the Robustness and Efficiency of Continuous Integration and Deployment.,['619-623'],2019,ICSME,['https://doi.org/10.1109/ICSME.2019.00099'],['conf/icsm/2019'],['db/conf/icsm/icsme2019.html#Gallaba19'],inproceedings
"['Pamela Bhattacharya', 'Iulian Neamtiu', 'Michalis Faloutsos']",Determining Developers' Expertise and Role: A Graph Hierarchy-Based Approach.,['11-20'],2014,ICSME,"['https://doi.org/10.1109/ICSME.2014.23', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2014.23']",['conf/icsm/2014'],['db/conf/icsm/icsme2014.html#BhattacharyaNF14'],inproceedings
"['Jafar M. Al-Kofahi', 'Hung Viet Nguyen', 'Tien N. Nguyen']",Fault Localization for Make-Based Build Crashes.,['526-530'],2014,ICSME,"['https://doi.org/10.1109/ICSME.2014.87', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2014.87']",['conf/icsm/2014'],['db/conf/icsm/icsme2014.html#Al-KofahiNN14'],inproceedings
"['Rui Abreu', 'Jácome Cunha', 'João Paulo Fernandes', 'Pedro Martins 0001', 'Alexandre Perez', 'João Saraiva']",FaultySheet Detective: When Smells Meet Fault Localization.,['625-628'],2014,ICSME,"['https://doi.org/10.1109/ICSME.2014.111', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2014.111']",['conf/icsm/2014'],['db/conf/icsm/icsme2014.html#AbreuCFMPS14a'],inproceedings
"['Oshini Goonetilleke', 'David Meibusch', 'Ben Barham']",Graph Data Management of Evolving Dependency Graphs for Multi-versioned Codebases.,['574-583'],2017,ICSME,"['https://doi.org/10.1109/ICSME.2017.54', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2017.54']",['conf/icsm/2017'],['db/conf/icsm/icsme2017.html#GoonetillekeMB17'],inproceedings
"['Yingjun Lyu', 'Jiaping Gui', 'Mian Wan', 'William G. J. Halfond']",An Empirical Study of Local Database Usage in Android Applications.,['444-455'],2017,ICSME,"['https://doi.org/10.1109/ICSME.2017.75', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2017.75']",['conf/icsm/2017'],['db/conf/icsm/icsme2017.html#LyuGWH17'],inproceedings
"['Markos Viggiato', 'Johnatan Oliveira', 'Eduardo Figueiredo 0001', 'Pooyan Jamshidi', 'Christian Kästner']",How Do Code Changes Evolve in Different Platforms? A Mining-Based Investigation.,['218-222'],2019,ICSME,['https://doi.org/10.1109/ICSME.2019.00033'],['conf/icsm/2019'],['db/conf/icsm/icsme2019.html#ViggiatoOFJK19'],inproceedings
['Eric James Rapos'],Co-evolution of Model-Based Tests for Industrial Automotive Software.,['663'],2014,ICSME,"['https://doi.org/10.1109/ICSME.2014.118', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2014.118']",['conf/icsm/2014'],['db/conf/icsm/icsme2014.html#Rapos14'],inproceedings
"['Stefan Stanciulescu', 'Thorsten Berger', 'Eric Walkingshaw', 'Andrzej Wasowski']","Concepts, Operations, and Feasibility of a Projection-Based Variation Control System.",['323-333'],2016,ICSME,"['https://doi.org/10.1109/ICSME.2016.88', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2016.88']",['conf/icsm/2016'],['db/conf/icsm/icsme2016.html#StanciulescuBWW16'],inproceedings
['Roberto Minelli'],Towards Self-Adaptive IDEs.,['666'],2014,ICSME,"['https://doi.org/10.1109/ICSME.2014.121', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2014.121']",['conf/icsm/2014'],['db/conf/icsm/icsme2014.html#Minelli14'],inproceedings
"['Daniel Gaston', 'James Clause']",A Method for Finding Missing Unit Tests.,['92-103'],2020,ICSME,['https://doi.org/10.1109/ICSME46990.2020.00019'],['conf/icsm/2020'],['db/conf/icsm/icsme2020.html#GastonC20'],inproceedings
"['Renaud Rwemalika', 'Marinos Kintis', 'Mike Papadakis', 'Yves Le Traon', 'Pierre Lorrach']",An Industrial Study on the Differences between Pre-Release and Post-Release Bugs.,['92-102'],2019,ICSME,['https://doi.org/10.1109/ICSME.2019.00019'],['conf/icsm/2019'],['db/conf/icsm/icsme2019.html#RwemalikaKPTL19'],inproceedings
